key,value,date
Bug,475.51624,02/09/16
Bug,475.51624,03/09/16
Bug,475.51624,04/09/16
Bug,426.5022,05/09/16
Bug,493.07547,06/09/16
Bug,570.0402,07/09/16
Bug,790.0195,08/09/16
Grass,493.07547,02/09/16
Grass,411.31375,03/09/16
Grass,343.10977,04/09/16
Grass,296.7843,05/09/16
Grass,475.51624,06/09/16
Grass,493.07547,07/09/16
Grass,458.58234,08/09/16
Normal,475.51624,02/09/16
Normal,475.51624,03/09/16
Normal,475.51624,04/09/16
Normal,458.58234,05/09/16
Normal,493.07547,06/09/16
Normal,591.0899,07/09/16
Normal,591.0899,08/09/16
Outros,549.7402,02/09/16
Outros,635.5498,03/09/16
Outros,591.0899,04/09/16
Outros,475.51624,05/09/16
Outros,426.5022,06/09/16
Outros,635.5498,07/09/16
Outros,647.284175,08/09/16
Poison,549.7402,02/09/16
Poison,591.0899,03/09/16
Poison,530.163,04/09/16
Poison,570.0402,05/09/16
Poison,493.07547,06/09/16
Poison,635.5498,07/09/16
Poison,635.5498,08/09/16
Water,475.51624,02/09/16
Water,493.07547,03/09/16
Water,570.0402,04/09/16
Water,319.10748,05/09/16
Water,475.51624,06/09/16
Water,761.8856,07/09/16
Water,511.28308,08/09/16
