,idManu,income,pokeCity,uneployment
0,16001,57745.82677165354,Ada County,3.5
1,30334,65349.71775756672,Adams County,4.616666666666666
2,12001,60866.638392857145,Alachua County,4.4
3,37001,58429.63679808841,Alamance County,4.8
4,6001,78596.1313938619,Alameda County,4.6
5,51510,0.0,Alexandria city,2.9
6,30002,87075.0831792976,Allegany County,5.65
7,42003,70288.33333333333,Allegheny County,5.9
8,24502,63822.10062893082,Allen County,4.925
9,24003,128578.5,Anne Arundel County,4.0
10,8005,117162.0,Arapahoe County,3.2
11,51013,0.0,Arlington County,2.6
12,22005,0.0,Ascension Parish,5.3
13,22007,0.0,Assumption Parish,9.0
14,34001,88455.57005988024,Atlantic County,7.1
15,24510,0.0,Baltimore city,6.9
16,27512,52982.0,Barry County,4.4
17,13015,67023.0,Bartow County,5.0
18,19011,19841.0,Bay County,4.65
19,41013,45791.2,Beaufort County,5.35
20,29674,45765.6,Benton County,5.2666666666666675
21,34003,108073.4,Bergen County,4.7
22,49509,0.0,Berkeley County,4.5
23,42011,73072.25,Berks County,5.6
24,48029,50262.0,Bexar County,4.1
25,7014,0.0,Bibb County,5.95
26,24009,55127.0,Blount County,4.8
27,16019,0.0,Bonneville County,3.2
28,24261,56732.25,Boone County,4.375
29,51023,47912.0,Botetourt County,3.5
30,8013,131295.66666666666,Boulder County,2.9
31,48039,55854.0,Brazoria County,5.7
32,48041,0.0,Brazos County,3.9
33,12009,79338.5,Brevard County,5.2
34,34503,80409.0,Bristol County,4.85
35,36005,0.0,Bronx County,7.8
36,8014,0.0,Broomfield County,3.1
37,12011,52225.2,Broward County,4.6
38,42017,90875.0,Bucks County,5.2
39,38015,0.0,Burleigh County,2.3
40,34005,106369.0,Burlington County,5.0
41,25270,51270.666666666664,Butler County,5.074999999999999
42,37025,0.0,Cabarrus County,4.6
43,54011,0.0,Cabell County,4.8
44,24385,41544.0,Calhoun County,5.863636363636363
45,28276,84223.85714285714,Camden County,5.625
46,45042,43856.0,Cameron County,7.8999999999999995
47,44221,50089.0,Campbell County,4.8
48,34009,68124.4,Cape May County,5.7
49,27017,0.0,Carlton County,4.9
50,37522,43818.0,Caroline County,4.55
51,26484,55367.916666666664,Carroll County,4.984615384615385
52,27019,84094.6,Carver County,3.4
53,28139,50455.36363636364,Cass County,4.555555555555555
54,42027,58691.75,Centre County,4.8
55,24544,66911.4,Chambers County,5.9
