,name,popSize,netSpeed,netRate,netSize,idh,uneployment,STATE,STUSAB,STATE_NAME,STATENS,totAp,Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Psychic,Rock,Ghost,Ice,Dragon,spawn_chance,game_search
0,Alabama,4777326,36,0.84,4012953.84,0.877,4.1,1,AL,Alabama,1779775,566,42,6,53,100,258,71,1,6,21,2,2,1,2,0,1,0.0567770231,70
1,Arizona,6410979,36.2,0.88,5641661.52,0.908,4.7,4,AZ,Arizona,1779777,5587,48,467,229,631,1721,907,24,604,49,343,104,456,1,1,2,0.0415832157,42
2,Arkansas,2916372,26.7,0.78,2274770.16,0.878,3.5,5,AR,Arkansas,68085,384,49,4,17,92,156,43,2,3,11,2,2,1,1,0,1,0.0557981827,57
3,California,37325068,26.9,0.95,35458814.6,0.929,4.1,6,CA,California,1779778,14880,206,932,1197,1751,4771,2506,148,1469,196,663,224,767,17,9,24,0.0426184276,57
4,Colorado,5042853,44.3,0.91,4588996.23,0.942,3.2,8,CO,Colorado,1779779,3630,56,224,125,609,1562,244,75,201,31,160,162,175,6,0,0,0.054743054,44
5,Connecticut,3572213,44,0.99,3536490.87,0.952,4.2,9,CT,Connecticut,1779780,824,71,4,58,183,377,42,45,2,10,4,20,0,7,0,1,0.0568618015,37
6,Delaware,900131,45.1,0.98,882128.38,0.93,3.9,10,DE,Delaware,1779781,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556411031,45
7,Florida,18885152,43.9,0.96,18129745.92,0.908,3.4,12,FL,Florida,294478,4891,253,107,1140,741,2107,190,145,71,2,28,20,24,18,2,43,0.0599421237,56
8,Georgia,9714569,41.2,0.92,8937403.48,0.901,3.6,13,GA,Georgia,1705317,4014,117,33,307,751,2405,271,9,12,26,53,11,5,10,0,4,0.0763299441,68
9,Hawaii,1362730,23.4,0.96,1308220.8,0.938,2.3,15,HI,Hawaii,1779782,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318466151,36
10,Idaho,1567803,27.8,0.82,1285598.46,0.906,2.7,16,ID,Idaho,1779783,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390355728,48
11,Illinois,12823860,44,0.93,11926189.8,0.928,4.2,17,IL,Illinois,1779784,6686,234,14,865,1756,3037,348,62,17,53,3,210,12,51,10,14,0.0637991863,46
12,Indiana,6485530,39.3,0.87,5642411.1,0.905,3.5,18,IN,Indiana,448508,243,16,1,15,69,108,8,1,0,0,0,17,1,5,2,0,0.0680471945,54
13,Iowa,3047646,27.5,0.87,2651452.02,0.926,2.4,19,IA,Iowa,1779785,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510450575,44
14,Kansas,2851183,42.3,0.86,2452017.38,0.921,3.3,20,KS,Kansas,481813,905,66,8,68,179,509,42,10,3,10,0,1,3,5,0,1,0.0715932622,61
15,Kentucky,4340167,31.7,0.89,3862748.63,0.88,4.5,21,KY,Kentucky,1779786,948,41,7,51,200,583,47,5,2,0,0,6,0,4,0,2,0.0784078016,49
16,Louisiana,4529605,35.2,0.86,3895460.3,0.885,5,22,LA,Louisiana,1629543,8881,496,79,1851,1553,4115,405,75,84,8,35,87,36,29,1,27,0.0611026665,48
17,Maryland,5785496,54.7,0.97,5611931.12,0.934,4.1,24,MD,Maryland,1714934,4318,219,85,564,1029,2073,205,10,16,31,7,24,26,13,0,16,0.0650977102,36
18,Massachusetts,6560595,47.1,0.98,6429383.1,0.955,3.5,25,MA,Massachusetts,606926,2612,60,29,352,541,1125,161,33,11,18,2,217,2,40,16,5,0.0609022143,30
19,Michigan,9897264,31.9,0.89,8808564.96,0.911,3.9,26,MI,Michigan,1779789,463,25,3,37,128,202,25,0,3,4,1,25,3,4,2,1,0.0633915613,50
20,Minnesota,5313081,40.2,0.9,4781772.9,0.945,2.8,27,MN,Minnesota,662849,353,21,2,21,89,163,15,0,1,4,1,28,0,5,3,0,0.0646880781,42
21,Mississippi,2967620,25.8,0.77,2285067.4,0.861,4.7,28,MS,Mississippi,1779790,16,2,0,0,2,10,2,0,0,0,0,0,0,0,0,0,0.0945616024,62
22,Missouri,5982413,39.8,0.82,4905578.66,0.904,3.1,29,MO,Missouri,1779791,1982,145,7,258,367,1010,143,11,10,8,2,5,3,8,0,5,0.0649587204,56
23,Montana,990785,24.5,0.74,733180.9,0.919,3.7,30,MT,Montana,767982,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257169821,42
24,Nebraska,1827306,29.2,0.84,1534937.04,0.933,2.8,31,NE,Nebraska,1779792,71,3,4,6,19,25,4,0,2,3,2,2,0,0,0,1,0.0484441402,45
25,Nevada,2704204,36.2,0.92,2487867.68,0.903,4.4,32,NV,Nevada,1779793,1291,10,89,64,152,535,182,3,85,3,72,42,54,0,0,0,0.0515934528,43
26,New Hampshire,1317474,42.2,0.94,1238425.56,0.941,2.6,33,NH,New Hampshire,1779794,171,2,1,11,43,86,9,3,0,1,0,10,0,3,2,0,0.0653128088,31
27,New Jersey,8793888,55.3,0.99,8705949.12,0.941,4.1,34,NJ,New Jersey,1779795,1007,46,20,188,182,391,88,20,14,10,6,22,12,5,1,2,0.0535485366,32
28,New Mexico,2055287,31.3,0.81,1664782.47,0.9,4.6,35,NM,New Mexico,897535,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254320554,42
29,New York,19398125,49.1,0.98,19010162.5,0.941,4,36,NY,New York,1779796,3647,186,31,651,640,1200,481,194,32,101,19,50,18,33,0,11,0.0457814911,42
30,North Carolina,9544249,43.3,0.94,8971594.06,0.904,3.6,37,NC,North Carolina,1027616,8323,503,22,942,1638,4651,417,37,12,15,10,24,4,13,0,35,0.0737178703,48
31,North Dakota,676253,31,0.93,628915.29,0.946,2.8,38,ND,North Dakota,1779797,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406212322,30
32,Ohio,11533561,35,0.93,10726211.73,0.912,4.6,39,OH,Ohio,1085497,4913,272,86,255,1422,2230,316,27,12,59,9,162,6,48,3,6,0.0644579108,41
33,Oklahoma,3749005,42.8,0.76,2849243.8,0.896,3.4,40,OK,Oklahoma,1102857,699,47,4,53,135,425,27,1,1,3,0,0,0,2,0,1,0.0760680932,48
34,Oregon,3836628,41.1,0.9,3452965.2,0.928,3.8,41,OR,Oregon,1155107,1870,55,38,283,307,1053,94,4,6,6,1,8,0,7,0,8,0.0706287528,63
35,Pennsylvania,12699589,44.2,0.95,12064609.55,0.922,4.1,42,PA,Pennsylvania,1779798,2931,234,17,187,777,1136,329,9,10,119,11,69,0,32,1,0,0.0514035233,36
36,Rhode Island,1052471,49.5,0.98,1031421.58,0.917,3.8,44,RI,Rhode Island,1219835,61,1,0,10,12,20,5,1,0,1,0,6,2,1,2,0,0.0493925101,30
37,South Carolina,4630351,41.2,0.89,4121012.39,0.888,3.3,45,SC,South Carolina,1779799,1191,40,26,305,168,457,54,63,18,6,11,12,16,5,0,10,0.0527057993,51
38,South Dakota,815871,27.7,0.87,709807.77,0.926,3,46,SD,South Dakota,1785534,344,20,6,24,87,117,48,2,4,13,6,11,3,3,0,0,0.0448251733,42
39,Tennessee,6353226,39.8,0.91,5781435.66,0.892,3.7,47,TN,Tennessee,1325873,259,27,0,24,50,131,13,0,1,5,1,2,2,3,0,0,0.0671448754,47
40,Texas,25208897,50.3,0.89,22435918.33,0.91,3.7,48,TX,Texas,1779801,8277,328,295,605,1347,4137,500,47,423,13,157,137,267,12,0,9,0.0643877197,61
41,Utah,2766233,39.2,0.95,2627921.35,0.929,3.2,49,UT,Utah,1455989,1843,5,176,31,269,747,68,14,89,9,79,151,200,4,0,1,0.0529773589,42
42,Vermont,625498,23.8,0.87,544183.26,0.932,2.8,50,VT,Vermont,1779802,4205,297,24,234,1170,1498,505,8,33,188,14,172,9,48,2,3,0.0482728062,46
43,Virginia,8014955,51.3,0.91,7293609.05,0.928,2.9,51,VA,Virginia,1779803,8538,446,34,964,1526,4787,564,16,28,61,12,26,14,44,0,16,0.0679333651,100
44,Washington,6738714,43.8,0.94,6334391.16,0.939,4.3,53,WA,Washington,1779804,3402,121,35,499,728,1361,362,8,42,97,17,73,19,20,6,14,0.054972373,46
45,"Washington, D.C.",635630,48.9,0.99,629273.7,0.946,5.6,11,DC,"Washington, D.C.",1702382,1652,70,26,660,199,412,134,18,38,19,10,17,12,14,2,21,0.0413277232,29
46,West Virginia,1850481,32,0.77,1424870.37,0.874,5.2,54,WV,West Virginia,1779805,157,19,5,19,30,61,17,0,1,1,0,1,1,1,0,1,0.0480922844,52
47,Wisconsin,5687219,40.8,0.87,4947880.53,0.926,3,55,WI,Wisconsin,1779806,962,22,1,31,305,529,28,1,0,0,1,31,0,11,1,1,0.0803062983,38
48,Wyoming,562803,30.6,0.77,433358.31,0.934,4.1,56,WY,Wyoming,1779807,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469533706,43
